# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
442	60	54330
443	87	54382
444	104	54415
445	142	54361
446	183	54350
447	227	54322
448	301	54302
449	409	54309
450	505	54359
451	639	54217
452	795	54164
453	970	54101
454	1172	54141
455	1369	54183
456	1637	54227
457	1863	54169
458	2116	54209
459	2389	54136
460	2690	54136
461	3026	54061
462	3361	54072
463	3688	54101
464	4004	54213
465	4383	54332
466	4707	54353
467	5019	54337
468	5275	54316
469	5579	54415
470	5887	54519
471	6142	54522
472	6421	54497
473	6656	54541
474	6897	54614
475	6991	54659
476	7143	54615
477	7201	54567
478	7177	54576
479	7215	54684
480	7303	54718
481	7245	54684
482	7215	54611
483	7231	54702
484	7232	54796
485	7198	54839
486	7157	54832
487	7040	54841
488	7066	54779
489	6954	54830
490	6891	54757
491	6762	54716
492	6643	54823
493	6514	54955
494	6303	54924
495	5986	54936
496	5683	54933
497	5453	54869
498	5150	54922
499	4927	54914
500	4654	54915
501	4442	55005
502	4194	54983
503	3969	55007
504	3604	55050
505	3416	55055
506	3239	55032
507	3070	54916
508	2856	54910
509	2709	54763
510	2591	54726
511	2444	54730
512	2343	54630
513	2257	54663
514	2148	54637
515	2062	54492
516	1999	54496
517	1840	54470
518	1749	54313
519	1653	54217
520	1443	54219
521	1242	54344
522	1051	54395
523	908	54387
524	721	54402
525	577	54361
526	481	54343
527	398	54303
528	310	54329
529	249	54334
530	177	54196
531	120	54190
532	98	54134
533	76	54157
534	62	54261
535	45	54174
536	36	54221
537	30	54220
538	20	54197
539	18	54180
540	12	54228
541	9	54227
542	8	54305
543	4	54327
544	2	54416
545	2	54516
546	2	54561
547	2	54491
548	2	54455
549	2	54476
550	3	54406
551	2	54382
552	2	54424
553	1	54441
554	1	54548
555	0	54543
556	0	54513
557	0	54660
558	0	54657
559	0	54739
560	0	54616
561	0	54408
562	0	54484
563	0	54541
564	0	54455
565	0	54418
566	0	54425
567	0	54502
568	0	54501
569	0	54456
570	0	54613
571	0	54736
572	0	54809
573	0	54814
574	0	54802
575	0	54793
576	0	54760
577	0	54837
578	0	54679
579	0	54798
580	0	54676
581	0	54714
582	0	54611
583	0	54551
584	0	54626
585	0	54624
586	0	54638
587	0	54684
588	0	54663
589	0	54690
590	0	54766
591	0	54791
592	0	54691
593	0	54791
594	0	54584
595	0	54549
596	0	54522
597	0	54582
598	0	54523
599	0	54525
600	0	54570
601	0	54564
602	0	54563
603	0	54434
604	0	54400
605	0	54468
606	0	54414
607	0	54355
608	0	54393
609	0	54290
610	0	54352
611	0	54403
612	0	54583
613	0	54605
614	0	54658
615	0	54658
616	0	54605
617	0	54640
618	0	54595
619	0	54630
620	0	54618
621	0	54677
622	0	54675
623	0	54796
624	0	54851
625	0	54943
626	0	54834
627	0	54790
628	0	54641
629	0	54691
630	0	54716
631	0	54696
632	0	54637
633	0	54628
634	0	54535
635	0	54616
636	0	54750
637	0	54763
638	0	54835
639	0	54928
640	0	54954
641	0	54876
642	0	54828
643	0	54800
644	0	54799
645	0	54727
646	0	54715
647	0	54668
648	0	54690
649	0	54727
650	0	54587
651	0	54655
652	0	54663
653	0	54776
654	0	54639
655	0	54618
656	0	54595
657	0	54625
658	0	54694
659	0	54724
660	0	54630
661	0	54456
662	0	54439
663	0	54441
664	0	54371
665	0	54444
666	0	54427
667	0	54443
668	0	54515
669	0	54490
670	0	54475
671	0	54454
672	0	54465
673	0	54497
674	0	54493
675	0	54529
676	0	54380
677	0	54314
678	0	54253
679	0	54325
680	0	54242
681	0	54422
682	0	54382
683	0	54349
684	0	54318
685	0	54399
686	0	54381
687	0	54372
688	0	54352
689	0	54423
690	0	54433
691	0	54423
692	0	54356
693	0	54265
694	0	54501
695	0	54500
696	0	54459
697	0	54471
698	0	54438
699	0	54406
700	0	54489
701	0	54569
702	0	54550
703	0	54556
704	0	54431
705	0	54454
706	0	54322
707	0	54383
708	0	54401
709	0	54370
710	0	54280
711	0	54265
712	0	54273
713	0	54114
714	0	54115
715	0	54119
716	0	54190
